latin,common,original_latin,original_common,notes
chiroptera,bat,,Bat_unspecified,
aves,bird,,Bird_unspecified,
insecta,insect,,Insect_unspecified,
reptilia,reptile,,Reptile_unspecified,
rodentia,rodent,,Rodent_unspecified,
mammalia,mammal,,Mammal_unspecified,
,,,Human,non-taxonomic category; left unmapped
,,,Vehicle,non-taxonomic category; left unmapped
,,,Blank,non-taxonomic category; left unmapped
orycteropus,aardvark,,Aardvark,
proteles,aardwolf,,Aardwolf,
papio,chacma baboon,,Baboon_chacma,genus Papio = chacma baboon in South Africa
syncerus,african buffalo,,Buffalo_cape,
otolemur,thick-tailed greater galago,,Bushbaby_greater,
galago,galago species,,Bushbaby_lesser,"Southern lesser galago (Galago moholi) is not in the SpeciesNet taxonomy; mapped to genus Galago"
tragelaphus scriptus,bushbuck,,Bushbuck,
potamochoerus,bushpig,,Bushpig,
caracal,caracal,,Caracal,
civettictis,african civet,,Civet_african,
felis catus,domestic cat,,Domestic_cat,
bos,domestic cattle,,Domestic_cattle,
canis familiaris,domestic dog,,Domestic_dog,
equus asinus,domestic donkey,,Domestic_donkey,
capra,domestic goat,,Domestic_goat,
sus,domestic pig,,Domestic_pig,
ovis,domestic sheep,,Domestic_sheep,
sylvicapra,common duiker,,Duiker_grey,
cephalophus,natal red duiker,,Duiker_red,"Natal red duiker (only Cephalophus in SA); mapped at genus level"
otocyon,bat-eared fox,,Fox_bat_eared,
oryx,gemsbok,,Gemsbok,
genetta,large-spotted genet,,Genet_large_spotted,"Mapped to genus Genetta; small-spotted/common genet (G. genetta) also occurs in SA but isn't separately listed, so all genets fold here"
giraffidae,giraffe,,Giraffe,
raphicerus sharpei,sharpe's grysbok,,Grysbok_sharpey's,
guttera,crested guineafowl,,Guineafowl_crested,"SpeciesNet lists crested guineafowl under genus Guttera (species G. pucherani, labeled 'pintade huppee')"
numida,helmeted guineafowl,,Guineafowl_helmeted,
alcelaphus,hartebeest,,Hartebeest_red,"Red hartebeest (A. buselaphus caama); SpeciesNet has species-level 'hartebeest'"
hippopotamidae,hippopotamus,,Hippopotamus,
mellivora,honey badger,,Honey badger,
parahyaena,brown hyaena,,Hyaena_brown,
crocuta,spotted hyaena,,Hyaena_spotted,
aepyceros,impala,,Impala,
canis mesomelas,black-backed jackal,,Jackal_black_backed,
canis adustus,side-striped jackal,,Jackal_side_striped,
oreotragus,klipspringer,,Klipspringer,
